trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.7454255616481008, 'e': 0.02541285831947937}",20,6,25.476503821688485,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7433412894183322, 'e': 0.024538793635875435}",25,11,29.759371598617726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.74126284498808, 'e': 0.023694792043228018}",20,0,32.016755782501235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.7383037158119845, 'e': 0.02253918339894389}",25,14,19.428191541356806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7366812330226676, 'e': 0.02192780089426161}",25,16,15.804574101113747,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7353563995110923, 'e': 0.02143993445329344}",20,11,17.972401524310737,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7340339485548947, 'e': 0.0209629224370517}",25,7,29.98834308021254,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.731396177177369, 'e': 0.020040501061684014}",25,17,15.539298239576487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.730226878981892, 'e': 0.019643672553065292}",20,11,18.613411915809316,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7289136528578072, 'e': 0.019206625141780374}",20,7,22.479837469539195,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7270209389546797, 'e': 0.018592444322737798}",20,0,30.150192541972437,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.7241186636192313, 'e': 0.017685680113179437}",20,13,12.047830677954654,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.723105606795407, 'e': 0.0173788731024731}",30,6,35.97422893185045,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7196430167470754, 'e': 0.016366806321570428}",25,9,24.64804038153565,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7173438397386622, 'e': 0.015725054666416348}",20,16,8.013140721437791,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.716770194155699, 'e': 0.01556858775818209}",25,1,37.0613037845974,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7133379412207187, 'e': 0.014661943788649793}",20,14,9.8300624577707,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7124824490891918, 'e': 0.014443655883987879}",30,0,47.056657303308064,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.7082203534678, 'e': 0.013400007665140828}",20,0,33.28143427252604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7053931302699543, 'e': 0.012746481579617068}",20,3,28.685464076448376,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7029988661824592, 'e': 0.012216106414843372}",25,0,40.021939215575685,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.6994926447098535, 'e': 0.011475969942823362}",20,11,17.92185487262287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.6982346904478591, 'e': 0.011220643809589084}",20,9,18.616589892689444,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.6967002626183721, 'e': 0.01091628028429936}",20,6,27.524452592109242,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.6947522304008594, 'e': 0.010540819367905149}",20,13,15.100008222170482,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.6937802578178619, 'e': 0.010357959717613696}",35,6,47.95536461270897,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.6897679791783211, 'e': 0.009633583538639471}",25,13,18.678464527201083,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.6881145209718008, 'e': 0.009348868117139105}",20,0,23.69655987046181,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.6853675604715271, 'e': 0.008892918438799307}",20,8,24.21093735649125,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.6837246506068297, 'e': 0.008630092979143958}",25,11,26.13871501099581,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6818128992859905, 'e': 0.008333264523467802}",20,14,12.489845158717898,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.6809952145158316, 'e': 0.008209198377938761}",25,14,18.575663408062386,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.6794986718444408, 'e': 0.007986521265955502}",25,17,12.78055682125444,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.678412343264104, 'e': 0.007828377549225767}",25,8,29.70659896460948,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.676109658080072, 'e': 0.007502642403676216}",20,6,23.16909442630636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.6742191989153782, 'e': 0.007244592141233441}",20,6,25.193118217535037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.6723340256326572, 'e': 0.006995417410152011}",20,7,21.08817504567549,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.670588227686808, 'e': 0.006771721098967921}",25,11,22.812655088259024,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.6687132069033952, 'e': 0.006538810570549064}",25,0,28.381292654659283,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.6653779858698363, 'e': 0.006142644065236627}",20,0,32.6072251543556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.6627217898599704, 'e': 0.005843063779087765}",25,17,13.646691937092953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.6616622828278483, 'e': 0.00572736336430858}",20,9,18.71244706333112,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
